SECURITY,SHARES,FAIR VALUE ($),COST ($)
EUROCOMMERCIAL PROPERTIES NV,6708,304421,272240
EUSU HOLDINGS CO LTD,38699,243992,346072
EVERGREEN FIBREBOARD BHD,1531959,292755,414366
EVRAZ HIGHVELD STEEL AND VANADIUM LTD,1767,198,17522
EXXARO RESOURCES LTD,8980,45912,40593
F@N COMMUNICATIONS INC,2991,21193,20432
FAIRMONT SANTROL HOLDINGS INC,77118,572990,607786
FANTASIA HOLDINGS GROUP CO LTD,1154981,178680,188452
FANUC CORP,1551,264299,239705
FAR EASTERN INTERNATIONAL BANK,94837,28454,26666
FAVELLE FAVCO BHD,80680,47149,59914
FEDERAL CORP,132433,58432,57374
FIAT CHRYSLER AUTOMOBILES NV,1056400,7288823,7118815
FIBRIA CELULOSE SA,464781,3166281,4850134
FIEM INDUSTRIES LTD,8814,138373,108742
FINANCIERE DE LODET,234,201666,88431
FIRST GEN CORP,519798,283912,344100
FIRST QUANTUM MINERALS LTD,909241,6888347,5527024
FITIPOWER INTEGRATED TECHNOLOGY INC,31012,33729,32515
FLEURY SA,18798,222929,177382
FOMENTO ECONOMICO MEXICANO SAB,394151,3599611,3658401
FORMOSA ADVANCED TECHNOLOGIES CO LTD,81788,55676,61006
FORMOSA PETROCHEMICAL CORP,87482,255851,215850
FORMOSAN UNION CHEMICAL CORP,108950,56139,52689
FORTH CORP PCL,110982,23245,25126
FOSHAN HUAXIN PACKAGING CO LTD,151001,195,86658
FOXSEMICON INTEGRATED TECHNOLOGY INC,9353,25557,27346
FRANCO-NEVADA CORP,18088,1263250,863763
FRANKS INTERNATIONAL NV,125012,1436390,2392148
FRASER & NEAVE HOLDINGS BHD,9822,59097,57065
FRASER & NEAVE LTD,86422,134435,129274
FRESNILLO PLC,171792,3613438,1922625
FSP TECHNOLOGY INC,32741,25590,28263
FUFENG GROUP LTD,27661,12089,11448
FUJIREBIO INC,1440,68281,71181
FURSYS INC,1949,58481,56036
FUTURE ENTERPRISES LTD,41814,10833,74022
FUTURE LAND DEVELOPMENT HOLDINGS LTD,3515750,652681,668837
FUTURE RETAIL LTD,41814,99649,82272
G J STEEL PCL,470004,4752,4634
GADANG HOLDINGS BHD,568571,402367,295727
GAEC EDUCACAO SA,498576,2160011,3453572
GAJAH TUNGGAL TBK PT,2400520,273258,170251
GAMEVIL INC,24994,1443626,1839257
GARWARE WALL ROPES LTD,21583,153067,119496
GAZPROM,3068,12548,13134
GECINA SA,19317,3017362,2479928
GEELY AUTOMOBILE HOLDINGS LTD,2232625,1790303,1074656
GEMTEK TECHNOLOGY,111772,73974,62984
GENERALPLUS TECHNOLOGY INC,53628,68872,71945
GENPACT LTD,164323,3887886,3252445
GENTING MALAYSIA BHD,423712,463884,419785
GEODESIC LTD,9509,0,17241
GEORGE KENT MALAYSIA BHD,94894,63411,55212
GETAC TECHNOLOGY CORP,780713,698768,543347
GFPT PCL,130673,59645,61462
GHCL LTD,154629,582080,249713
GIANTPLUS TECHNOLOGY CO LTD,514266,342785,250993
GIGABYTE TECHNOLOGY CO LTD,212819,293100,228891
GLENCORE PLC,5621215,12813744,10283006
FAVELLE FAVCO BHD,80680,47149,59914
FEDERAL CORP,132433,58432,57374
FIAT CHRYSLER AUTOMOBILES NV,1056400,7288823,7118815
FIBRIA CELULOSE SA,464781,3166281,4850134
FIEM INDUSTRIES LTD,8814,138373,108742
FINANCIERE DE LODET,234,201666,88431
FIRST GEN CORP,519798,283912,344100
FIRST QUANTUM MINERALS LTD,909241,6888347,5527024
FITIPOWER INTEGRATED TECHNOLOGY INC,31012,33729,32515
FLEURY SA,18798,222929,177382
FOMENTO ECONOMICO MEXICANO SAB,394151,3599611,3658401
FORMOSA ADVANCED TECHNOLOGIES CO LTD,81788,55676,61006
FORMOSA PETROCHEMICAL CORP,87482,255851,215850
FORMOSAN UNION CHEMICAL CORP,108950,56139,52689
FORTH CORP PCL,110982,23245,25126
FOSHAN HUAXIN PACKAGING CO LTD,151001,195,86658
FOXSEMICON INTEGRATED TECHNOLOGY INC,9353,25557,27346
FRANCO-NEVADA CORP,18088,1263250,863763
FRANKS INTERNATIONAL NV,125012,1436390,2392148
FRASER & NEAVE HOLDINGS BHD,9822,59097,57065
FRASER & NEAVE LTD,86422,134435,129274
FRESNILLO PLC,171792,3613438,1922625
FSP TECHNOLOGY INC,32741,25590,28263
FUFENG GROUP LTD,27661,12089,11448
FUJIREBIO INC,1440,68281,71181
FURSYS INC,1949,58481,56036
FUTURE ENTERPRISES LTD,41814,10833,74022
FUTURE LAND DEVELOPMENT HOLDINGS LTD,3515750,652681,668837
FUTURE RETAIL LTD,41814,99649,82272
G J STEEL PCL,470004,4752,4634
GADANG HOLDINGS BHD,568571,402367,295727
GAEC EDUCACAO SA,498576,2160011,3453572
GAJAH TUNGGAL TBK PT,2400520,273258,170251
GAMEVIL INC,24994,1443626,1839257
GARWARE WALL ROPES LTD,21583,153067,119496
GAZPROM,3068,12548,13134
GECINA SA,19317,3017362,2479928
GEELY AUTOMOBILE HOLDINGS LTD,2232625,1790303,1074656
GEMTEK TECHNOLOGY,111772,73974,62984
GENERALPLUS TECHNOLOGY INC,53628,68872,71945
GENPACT LTD,164323,3887886,3252445
GENTING MALAYSIA BHD,423712,463884,419785
GEODESIC LTD,9509,0,17241
GEORGE KENT MALAYSIA BHD,94894,63411,55212
GETAC TECHNOLOGY CORP,780713,698768,543347
GFPT PCL,130673,59645,61462
GHCL LTD,154629,582080,249713
GIANTPLUS TECHNOLOGY CO LTD,514266,342785,250993
GIGABYTE TECHNOLOGY CO LTD,212819,293100,228891
GLENCORE PLC,5621215,12813744,10283006
GLOBAL DIGITAL CREATIONS HOLDINGS LTD,269834,10088,22737
GLOBAL LOGISTIC PROPERTIES LTD,325961,434104,497145
GLOBAL TELECOM HOLDING SAE,1322905,1576760,1269971
GLOBAL UNICHIP CORP,23709,55368,63248
GLOBE TELECOM INC,356,15054,18845
GLOBE UNION INDUSTRIAL CORP,147336,74062,68557
GLOW ENERGY PCL,393330,909026,1046386
GOLAR LNG LTD,30296,631070,1111789
GOLD FIELDS LTD,675348,3406136,2088232
GOLDCORP INC,95819,1457677,985287
GOLDEN FRIENDS CORP,19193,23076,14868
GOLDEN LAND PROPERTY DEVELOPMENT PCL,139998,26491,25467
GOLDLION HOLDINGS LTD,142820,57815,65043
GOODBABY INTERNATIONAL HOLDINGS LTD,246125,120258,134238
GOURMET MASTER CO LTD,13633,130182,90503
GPT GROUP,716024,2868223,2534537
GRAND CITY PROPERTIES SA,93173,2043774,1835972
GRAND PACIFIC PETROCHEMICAL CORP,64354,32552,34984
GRANDE ASSET HOTELS & PROPERTY PCL,969112,24917,55586
GREAT EASTERN SHIPPING CO LTD,12178,67070,62906
GREAT PORTLAND ESTATES PLC,523354,4643828,5568133
GREAT WALL ENTERPRISE CO LTD,142256,120824,122391
GREATEK ELECTRONICS INC,57580,70136,72019
GRENDENE SA,75046,419347,417578
GRIFOLS SA,72124,1525433,1577720
GROUP FIVE LTD,17497,30548,31683
GROWMAX RESOURCES CORP,1159821,167955,2378979
GRUPO AEROMEXICO SAB DE CV,21691,42683,36997
GRUPO BIMBO SAB DE CV,874273,2481674,2579375
GRUPO FINANCIERO INBURSA SAB DE CV,421118,732039,671105
GRUPO FINANCIERO INTERACCIONES,320077,1635267,1950956
GRUPO HERDEZ SAB DE CV,635717,1355746,1651447
GRUPO LAMOSA SAB DE CV,704850,1382150,1348079
GRUPO MEXICO SAB DE CV,3424277,8533130,8696738
GRUPO ROTOPLAS SAB DE CV,1038722,1921790,1985076
GS HOME SHOPPING INC,34804,4906831,6214341
GSD HOLDING AS,528674,175087,261420
GUANGDONG YUEYUN TRANSPORTATION CO LTD,69434,40461,35562
GUANGNAN HOLDINGS LTD,605862,71078,127106
GUANGSHEN RAILWAY CO LTD,4929357,2669069,2088443
GUANGZHOU AUTOMOBILE INDUSTRY GROUP CO LTD,4821747,6638896,5108115
GUJARAT ALKALIES & CHEMICALS LTD,22133,104436,94901
GUJARAT AMBUJA EXPORTS LTD,29692,39105,29518
GUJARAT NARMADA VALLEY FERTILIZERS CO LTD,12742,29386,22325
GUJARAT STATE FERTILIZERS & CHEMICALS LTD,85723,97154,129001
GULF MARINE SERVICES PLC,559359,333330,844958
GUOLIAN SECURITIES CO LTD,42056,22392,22943
HAI-O ENTERPRISE BHD,11701,9377,8731
HALIM,54886,214621,243902
HAMMERSON PLC,172780,1312482,1096166
HANERGY THIN FILM POWER GROUP,136874,68995,16508
HANG SENG BANK LTD,68081,1194544,1362697
HANIL CEMENT CO LTD,898,62668,125746
HANJIN HEAVY INDUSTRIES AND CONSTRUCTION CO,15497,59347,63087
HANKOOK TIRE CO LTD,254553,12739052,11311516
HANMIGLOBAL CO LTD,7599,66111,82474
HANNSTAR BOARD CORP,554910,194994,273475
HANSHIN CONSTRUCTION,9125,147314,169123
HANSOL PAPER CO LTD,1127,21929,22649
HANSSEM CO LTD,4460,588014,686743
HANWHA CORP,27084,725758,691638
HARD OFF CORP CO LTD,113517,1126006,1359041
HARGREAVES LANSDOWN PLC,133858,2317657,1862717
HARMONY GOLD MINING CO LTD,76464,269917,307354
HASEKO CORP,514194,4866786,4742244
HB TECHNOLOGY CO LTD,18783,64015,69731
HEINEKEN MALAYSIA BHD,56846,254548,214786
HELBOR EMPREENDIMENTOS SA,1809616,1214319,3200049
HELLENIC TELECOMMUNICATIONS ORGANIZATION SA,13905,131638,118726
HENDERSON LAND DEVELOPMENT CO,19343,113090,110853
HENGAN INTERNATIONAL GROUP CO LTD,34771,294285,364904
HERBALIFE LTD,47869,2908031,2481767
HEVEABOARD BHD,986250,255348,324811
HEXAGON AB,32606,1325380,921410
HIGHFIELD RESOURCES LTD,822165,843431,902299
HIMATSINGKA SEIDE LTD,53770,208675,178461
HINDUSTAN PETROLEUM CORP LTD,105657,1922708,1154471
HITACHI LTD,1347214,6460271,6977911
HITEJINRO HOLDINGS CO LTD,2666,30242,30131
HOLDSPORT LTD,9420,39726,44039
HON HAI PRECISION INDUSTRY CO LTD,2729010,7568520,7030531
HONG KONG & SHANGHAI HOTELS LTD,214775,219295,291357
HONG KONG EXCHANGES & CLEARING LTD,126244,3087450,2214652
HONG LEONG INDUSTRIES BHD,11072,26210,14375
HONGKONG LAND HOLDINGS LTD,1880359,12203531,10743626
HOPEFLUENT GROUP HOLDINGS LTD,122683,35587,33175
HOPSON DEVELOPMENT HOLDINGS LTD,41774,40929,39806
HOSKEN CONSOLIDATED INVESTMENTS LTD,2192,19716,23406
HOUSING DEVELOPMENT & INFRASTRUCTURE LTD,324675,449173,408703
HOUSING DEVELOPMENT FINANCE CORP,334268,7015036,5828190
HS R&A CO LTD,8329,271169,280422
HSBC HOLDINGS PLC,72556,536236,560158
HUBEI SANONDA CO LTD,152417,196,179324
HUMAX CO LTD,4409,53182,54741
HUNG POO REAL ESTATE DEVELOPMENT CO LTD,395845,344317,317187
HUTCHISON TELECOMMUNICATIONS HONG KONG LTD,3778632,1305538,1401329
HUVIS CORP,4230,29708,36265
HWA FONG RUBBER THAILAND PCL,555475,75100,90488
HWA SHIN CO LTD,5899,45654,32511
HWACHEON MACHINE TOOL CO LTD,509,23518,31257
HWASUNG INDUSTRIAL CO LTD,2098,22394,38821
HYOSUNG CORP,5329,630871,392551
HYSAN DEVELOPMENT CO LTD,1637398,7905444,6350696
HYUNDAI HY COMMUNICATIONS & NETWORKS CO LTD,9369,32643,29373
HYUNDAI MOBIS CO LTD,21978,5134651,4992331
HYUNDAI MOTOR CO,47380,5651550,6944292
ICADE,33194,2557547,2347842
ICOM INC,3932,71010,97452
IG GROUP HOLDINGS PLC,220505,2746445,1824109
ILDONG HOLDINGS CO LTD,1240,41878,36930
ILDONG PHARMACEUTICAL CO LTD,3064,69802,68364
IMPACT GROWTH REIT,70620,31010,23157
IMPERIAL HOLDINGS LTD,5989,64200,77944
IMPERIAL METALS CORP,130394,652939,1297867
IMPEXMETAL SA,26865,17789,23152
INBODY CO LTD,18685,569765,613565
INDAH KIAT PULP & PAPER CORP TBK PT,402520,31558,37045
INDEKS BILGISAYAR SISTEMLERI,9659,22032,23407
INDIKA ENERGY TBK PT,2354389,119804,96450
INDO TAMBANGRAYA MEGAH TBK PT,414969,355843,237817
INDOSAT TBK PT,45782,21398,22470
INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD,1702825,1082274,1078771
INDUSTRIAS BACHOCO SAB DE CV,80334,355418,333847
INDUSTRIAS PENOLES SAB DE CV,1920,44255,54473
INDUSTRIES QATAR QSC,34466,1060086,984292
INFINITE COMPUTER SOLUTIONS INDIA LTD,6552,22310,24514
INFRAESTRUCTURA ENERGETICA NOVA SAB DE CV,501954,1931070,1947630
INNOLUX CORP,1512602,533907,591813
INNOVALUES LTD,5209702,3402161,1972807
INOVISI INFRACOM TBK PT,90931,802,14602
INSAS BHD,254762,41146,61065
INTEGRATED DIAGNOSTICS HOLDINGS,468708,1694381,2303377
INTEGRATED MICRO-ELECTRONICS INC,322446,45673,49562
INTEROIL CORP,68363,3355233,1887843
INTERXION HOLDINGS NV,147427,5499010,4000293
INTOPS CO LTD,5289,92022,89372
INVENIA CO LTD,7011,30054,32911
INVENTEC CORP,583019,432710,436628
INVERSIONES LA CONSTRUCCION SA,978,10348,11306
INVESTORS CLOUD CO LTD,8489,280697,364860
IRPC PCL,892260,124757,114392
IS GAYRIMENKUL YATIRIM ORTAKLIGI AS,329742,179407,168757
ISU CHEMICAL CO LTD,10412,171351,148702
ITAU UNIBANCO HOLDING SA,588742,6523257,6167412
ITAUSA INVESTIMENTOS SA,3,9,7
ITC LTD,242977,943500,906328
ITE TECH INC,47983,45064,45314
ITEQ CORP,106127,118233,112051
ITOHAM YONEKYU HOLDINGS INC,72465,685877,726597
J RESOURCES ASIA PASIFIK TBK PT,1369212,36540,26364
JAGRAN PRAKASHAN LTD,12839,36328,27927
JAHWA ELECTRONICS CO LTD,420596,5733694,6060056
JAKS RESOURCES BHD,1038128,258540,263874
HYUNDAI HY COMMUNICATIONS & NETWORKS CO LTD,9369,32643,29373
HYUNDAI MOBIS CO LTD,21978,5134651,4992331
HYUNDAI MOTOR CO,47380,5651550,6944292
ICADE,33194,2557547,2347842
ICOM INC,3932,71010,97452
IG GROUP HOLDINGS PLC,220505,2746445,1824109
ILDONG HOLDINGS CO LTD,1240,41878,36930
ILDONG PHARMACEUTICAL CO LTD,3064,69802,68364
IMPACT GROWTH REIT,70620,31010,23157
IMPERIAL HOLDINGS LTD,5989,64200,77944
IMPERIAL METALS CORP,130394,652939,1297867
IMPEXMETAL SA,26865,17789,23152
INBODY CO LTD,18685,569765,613565
INDAH KIAT PULP & PAPER CORP TBK PT,402520,31558,37045
INDEKS BILGISAYAR SISTEMLERI,9659,22032,23407
INDIKA ENERGY TBK PT,2354389,119804,96450
INDO TAMBANGRAYA MEGAH TBK PT,414969,355843,237817
INDOSAT TBK PT,45782,21398,22470
INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD,1702825,1082274,1078771
INDUSTRIAS BACHOCO SAB DE CV,80334,355418,333847
INDUSTRIAS PENOLES SAB DE CV,1920,44255,54473
INDUSTRIES QATAR QSC,34466,1060086,984292
INFINITE COMPUTER SOLUTIONS INDIA LTD,6552,22310,24514
INFRAESTRUCTURA ENERGETICA NOVA SAB DE CV,501954,1931070,1947630
INNOLUX CORP,1512602,533907,591813
INNOVALUES LTD,5209702,3402161,1972807
INOVISI INFRACOM TBK PT,90931,802,14602
INSAS BHD,254762,41146,61065
INTEGRATED DIAGNOSTICS HOLDINGS,468708,1694381,2303377
INTEGRATED MICRO-ELECTRONICS INC,322446,45673,49562
INTEROIL CORP,68363,3355233,1887843
INTERXION HOLDINGS NV,147427,5499010,4000293
INTOPS CO LTD,5289,92022,89372
INVENIA CO LTD,7011,30054,32911
INVENTEC CORP,583019,432710,436628
INVERSIONES LA CONSTRUCCION SA,978,10348,11306
INVESTORS CLOUD CO LTD,8489,280697,364860
IRPC PCL,892260,124757,114392
IS GAYRIMENKUL YATIRIM ORTAKLIGI AS,329742,179407,168757
ISU CHEMICAL CO LTD,10412,171351,148702
ITAU UNIBANCO HOLDING SA,588742,6523257,6167412
ITAUSA INVESTIMENTOS SA,3,9,7
ITC LTD,242977,943500,906328
ITE TECH INC,47983,45064,45314
ITEQ CORP,106127,118233,112051
ITOHAM YONEKYU HOLDINGS INC,72465,685877,726597
J RESOURCES ASIA PASIFIK TBK PT,1369212,36540,26364
JAGRAN PRAKASHAN LTD,12839,36328,27927
JAHWA ELECTRONICS CO LTD,420596,5733694,6060056
JAKS RESOURCES BHD,1038128,258540,263874
JAMNA AUTO INDUSTRIES LTD,113555,375407,265214
JAPAN TISSUE ENGINEERING CO LTD,35788,429035,438790
JAPAN TOBACCO INC,99487,3855036,4026416
JAPFA COMFEED INDONESIA TBK PT,3419664,436962,245614
JARDINE STRATEGIC HOLDINGS LTD,8639,278530,246139
JARLLYTEC CO LTD,28790,69864,58790
JB CHEMICALS & PHARMACEUTICALS LTD,15578,76236,70132
JBS SA,119131,458649,511993
JCY INTERNATIONAL BHD,3466130,470071,658392
JIANGSU FUTURE LAND CO LTD,46628,96157,74804
JIH SUN FINANCIAL HOLDINGS CO,179312,39727,45423
JIN CO LTD,54529,2504102,1536778
JINDAL POLY FILMS LTD,42213,264263,294368
JINDAL STAINLESS HISAR LTD,41107,47295,48838
JINRO DISTILLERS CO LTD,1447,41588,40812
JK PAPER LTD,32146,28657,28308
JK TYRE & INDUSTRIES LTD,177441,349345,325247
JOHNSON MATTHEY PLC,35100,1534474,1437784
JOLLIBEE FOODS CORP,347099,1825070,1592400
JSE LTD,53038,562308,584994
JU TENG INTERNATIONAL HOLDINGS,1468847,435537,847205
JUBILANT LIFE SCIENCES LTD,59564,478282,327321
JUST EAT PLC,129674,918803,850627
K WAH INTERNATIONAL HOLDINGS LTD,518217,283936,250217
KAISA GROUP HOLDINGS LTD,85985,17293,17145
KALYANI STEELS LTD,6272,31944,28494
KANG YONG ELECTRIC PCL,9174,85603,67172
KANGNAM JEVISCO CO LTD,439,14968,18625
KANGWON LAND INC,1229,43499,27810
KARMARTS PCL,202094,75897,46083
KARNATAKA BANK LTD,143895,325519,302283
KARUR VYSYA BANK LTD,12465,89732,98695
KATANGA MINING LTD,1881078,215054,652625
KC TECH CO LTD,17639,253118,140262
KCE ELECTRONICS PCL,54475,153831,80153
KEE TAI PROPERTIES CO LTD,580313,224952,321425
KEI INDUSTRIES LTD,46913,81469,76736
KEPCO PLANT SERVICE & ENGINEERING CO LTD,11515,665076,773798
KERRY GROUP PLC,30354,2575422,1186285
KERRY PROPERTIES LTD,1277948,3715181,5066984
KEYSHEEN CAYMAN HOLDINGS CO LTD,14677,35201,23641
KGI SECURITIES THAILAND PCL,2522838,259459,306868
KIA MOTORS CORP,14884,559969,434819
KIATNAKIN BANK PCL,55943,83634,65964
KIMLUN CORP BHD,44540,20647,19910
KINGBOARD CHEMICAL HOLDINGS LTD,286201,745320,584652
KINGBOARD LAMINATES HOLDINGS LTD,328825,284451,146255
KINSUS INTERCONNECT TECHNOLOGY CORP,49112,103547,100416
KION GROUP AG,44480,2529987,2306428
KIRLOSKAR FERROUS INDUSTRIES LTD,32210,40665,40067
KISCO CORP,2575,103358,103748
JAPAN TISSUE ENGINEERING CO LTD,35788,429035,438790
JAPAN TOBACCO INC,99487,3855036,4026416
JAPFA COMFEED INDONESIA TBK PT,3419664,436962,245614
JARDINE STRATEGIC HOLDINGS LTD,8639,278530,246139
JARLLYTEC CO LTD,28790,69864,58790
JB CHEMICALS & PHARMACEUTICALS LTD,15578,76236,70132
JBS SA,119131,458649,511993
JCY INTERNATIONAL BHD,3466130,470071,658392
JIANGSU FUTURE LAND CO LTD,46628,96157,74804
JIH SUN FINANCIAL HOLDINGS CO,179312,39727,45423
JIN CO LTD,54529,2504102,1536778
JINDAL POLY FILMS LTD,42213,264263,294368
JINDAL STAINLESS HISAR LTD,41107,47295,48838
JINRO DISTILLERS CO LTD,1447,41588,40812
JK PAPER LTD,32146,28657,28308
JK TYRE & INDUSTRIES LTD,177441,349345,325247
JOHNSON MATTHEY PLC,35100,1534474,1437784
JOLLIBEE FOODS CORP,347099,1825070,1592400
JSE LTD,53038,562308,584994
JU TENG INTERNATIONAL HOLDINGS,1468847,435537,847205
JUBILANT LIFE SCIENCES LTD,59564,478282,327321
JUST EAT PLC,129674,918803,850627
K WAH INTERNATIONAL HOLDINGS LTD,518217,283936,250217
KAISA GROUP HOLDINGS LTD,85985,17293,17145
KALYANI STEELS LTD,6272,31944,28494
KANG YONG ELECTRIC PCL,9174,85603,67172
KANGNAM JEVISCO CO LTD,439,14968,18625
KANGWON LAND INC,1229,43499,27810
KARMARTS PCL,202094,75897,46083
KARNATAKA BANK LTD,143895,325519,302283
KARUR VYSYA BANK LTD,12465,89732,98695
KATANGA MINING LTD,1881078,215054,652625
KC TECH CO LTD,17639,253118,140262
KCE ELECTRONICS PCL,54475,153831,80153
KEE TAI PROPERTIES CO LTD,580313,224952,321425
KEI INDUSTRIES LTD,46913,81469,76736
KEPCO PLANT SERVICE & ENGINEERING CO LTD,11515,665076,773798
KERRY GROUP PLC,30354,2575422,1186285
KERRY PROPERTIES LTD,1277948,3715181,5066984
KEYSHEEN CAYMAN HOLDINGS CO LTD,14677,35201,23641
KGI SECURITIES THAILAND PCL,2522838,259459,306868
KIA MOTORS CORP,14884,559969,434819
KIATNAKIN BANK PCL,55943,83634,65964
KIMLUN CORP BHD,44540,20647,19910
KINGBOARD CHEMICAL HOLDINGS LTD,286201,745320,584652
KINGBOARD LAMINATES HOLDINGS LTD,328825,284451,146255
KINSUS INTERCONNECT TECHNOLOGY CORP,49112,103547,100416
KION GROUP AG,44480,2529987,2306428
KIRLOSKAR FERROUS INDUSTRIES LTD,32210,40665,40067
KISCO CORP,2575,103358,103748
KKB ENGINEERING BHD,95458,35072,44654
KLABIN SA,233857,1227212,1194883
KLEPIERRE,65064,3044244,2905858
KOC HOLDING AS,15519,67341,75578
KOLON GLOBAL CORP,16650,222500,311786
KOMERCNI BANKA AS,95252,3218378,3802374
KORDSA GLOBAL ENDUSTRIYEL IPLIK,93176,212545,164188
KOREA AIRPORT SERVICE CO LTD,828,32865,29121
KOREA ALCOHOL INDUSTRIAL CO LTD,385652,3379211,1547323
KOREA AUTOGLASS CORP,1329,22704,22452
KOREA BUSINESS NEWS CO LTD,20935,91158,111158
KOREA CIRCUIT CO LTD,4438,33312,55658
KOREA DISTRICT HEATING CORP,3840,222499,233964
KOREA ELECTRIC POWER CORP,14973,778879,642119
KOREA IRON & STEEL,911,55123,50489
KOREA PETROCHEMICAL IND CO LTD,6021,1055587,704303
KOREA UNITED PHARM INC,2491,40430,50853
KOREAN REINSURANCE CO,498106,5338444,5211910
KORTEK CORP,2509,26437,25470
KPIT TECHNOLOGIES LTD,98927,187972,235419
KPR MILL LTD,9837,167278,77568
KPX CHEMICAL CO LTD,464,25386,20706
KROTON EDUCACIONAL SA,3079510,13084444,9727819
KRUNG THAI BANK PCL,640412,351514,118389
KRUNGTHAI CARD PCL,7395,29695,19714
KSL HOLDINGS BHD,88429,24203,45756
KT CORP,6051,93976,78875
KT SKYLIFE CO LTD,14975,216226,247988
KTCS CORP,15432,34186,52120
KUKDO CHEMICAL CO LTD,3252,166835,199660
KULTHORN KIRBY PCL,290270,25492,31982
KUM BI CORP,314,27446,31880
KUMBA IRON ORE LTD,4995,45436,46217
KUMHO PETRO CHEMICAL CO LTD,104353,6448331,7776884
KUMPULAN FIMA BHD,20575,9842,11788
KYERYONG CONSTRUCTION IND,326,3859,4112
KYOBO LIFE INSURANCE CO LTD,5407,46945,50871
KYORITSU MAINTENAN,23582,1538910,1783232
KYOWA HAKKO KOGYO,152144,2159305,2412143
KYUNG DONG NAVIEN CO LTD,1320,65368,68183
KYUNGCHANG INDUSTRIAL CO LTD,5303,27585,38802
LAI FUNG HOLDINGS LTD,557207,10488,10516
LALIN PROPERTY PCL,359309,41728,49605
LAND & GENERAL BHD,143882,14191,21209
LAND SECURITIES GROUP PLC,420419,6023817,6870463
LB SEMICON INC,9531,31669,22039
LBS BINA GROUP BHD,63620,25727,25734
LE SAUNDA HOLDINGS LTD,136611,27827,61398
LEE & MAN PAPER MANUFACTURING,150159,121184,104206
LEE CHI ENTERPRISES CO LTD,33306,11441,16622
LEJU HOLDINGS LTD,25701,103320,134530
KLABIN SA,233857,1227212,1194883
KLEPIERRE,65064,3044244,2905858
KOC HOLDING AS,15519,67341,75578
KOLON GLOBAL CORP,16650,222500,311786
KOMERCNI BANKA AS,95252,3218378,3802374
KORDSA GLOBAL ENDUSTRIYEL IPLIK,93176,212545,164188
KOREA AIRPORT SERVICE CO LTD,828,32865,29121
KOREA ALCOHOL INDUSTRIAL CO LTD,385652,3379211,1547323
KOREA AUTOGLASS CORP,1329,22704,22452
KOREA BUSINESS NEWS CO LTD,20935,91158,111158
KOREA CIRCUIT CO LTD,4438,33312,55658
KOREA DISTRICT HEATING CORP,3840,222499,233964
KOREA ELECTRIC POWER CORP,14973,778879,642119
KOREA IRON & STEEL,911,55123,50489
KOREA PETROCHEMICAL IND CO LTD,6021,1055587,704303
KOREA UNITED PHARM INC,2491,40430,50853
KOREAN REINSURANCE CO,498106,5338444,5211910
KORTEK CORP,2509,26437,25470
KPIT TECHNOLOGIES LTD,98927,187972,235419
KPR MILL LTD,9837,167278,77568
KPX CHEMICAL CO LTD,464,25386,20706
KROTON EDUCACIONAL SA,3079510,13084444,9727819
KRUNG THAI BANK PCL,640412,351514,118389
KRUNGTHAI CARD PCL,7395,29695,19714
KSL HOLDINGS BHD,88429,24203,45756
KT CORP,6051,93976,78875
KT SKYLIFE CO LTD,14975,216226,247988
KTCS CORP,15432,34186,52120
KUKDO CHEMICAL CO LTD,3252,166835,199660
KULTHORN KIRBY PCL,290270,25492,31982
KUM BI CORP,314,27446,31880
KUMBA IRON ORE LTD,4995,45436,46217
KUMHO PETRO CHEMICAL CO LTD,104353,6448331,7776884
KUMPULAN FIMA BHD,20575,9842,11788
KYERYONG CONSTRUCTION IND,326,3859,4112
KYOBO LIFE INSURANCE CO LTD,5407,46945,50871
KYORITSU MAINTENAN,23582,1538910,1783232
KYOWA HAKKO KOGYO,152144,2159305,2412143
KYUNG DONG NAVIEN CO LTD,1320,65368,68183
KYUNGCHANG INDUSTRIAL CO LTD,5303,27585,38802
LAI FUNG HOLDINGS LTD,557207,10488,10516
LALIN PROPERTY PCL,359309,41728,49605
LAND & GENERAL BHD,143882,14191,21209
LAND SECURITIES GROUP PLC,420419,6023817,6870463
LB SEMICON INC,9531,31669,22039
LBS BINA GROUP BHD,63620,25727,25734
LE SAUNDA HOLDINGS LTD,136611,27827,61398
LEE & MAN PAPER MANUFACTURING,150159,121184,104206
LEE CHI ENTERPRISES CO LTD,33306,11441,16622
LEJU HOLDINGS LTD,25701,103320,134530
LEOCH INTERNATIONAL TECHNOLOGY,382736,46382,55093
LEUCROTTA EXPLORATION INC,205514,322670,327940
LG CHEM LTD,1027,249270,229152
LG DISPLAY CO LTD,25506,687393,604476
LG ELECTRONICS INC,1566,72320,79534
LG HOUSEHOLD & HEALTH CARE LTD,1043,889218,510202
LG INNOTEK CO LTD,1552,114863,157188
LG UPLUS CORP,36970,386277,335916
LIBERTY HOLDINGS LTD,106061,812859,1384142
LIFESTYLE INTERNATIONAL HOLDINGS LTD,425755,642193,828191
LIGHT SA,66330,308696,325597
LII HEN INDUSTRIES BHD,197898,148345,147725
LINGSEN PRECISION INDUSTRIES LTD,69434,24727,23235
LITE-ON SEMICONDUCTOR CORP,43467,32124,31785
LITRAK,17387,25295,25614
