SECURITY,SHARES,FAIR VALUE ($),COST ($)
WILLIAMS PARTNERS LP,22703,864975,727843
WPX ENERGY INC,463433,5561203,3715893
ZOETIS INC,56423,2883228,2442186
ZYNGA INC,3317214,9055993,8728520
OTAL DOMESTIC COMMON STOCKS,,733608157,689588487
OREIGN COMMON STOCKS,,,
1-PAGE LTD,1166290,219131,1371856
361 DEGREES INTERNATIONAL LTD,951759,295709,326347
AA PLC,65686,232449,271846
AALBERTS INDUSTRIES NV,87890,2941534,1533649
AAPICO HITECH PCL,189616,79427,86902
ABILITY ENTERPRISE CO LTD,346111,190887,320370
ABS-CBN  HOLDINGS CORP,35984,38769,32632
ABU DHABI COMMERCIAL BANK PJSC,652586,1140617,1096804
ACCELYA KALE SOLUTIONS LTD,4543,84300,60869
ACCTON TECHNOLOGY CORP,272657,428786,232438
ACOM CO,534502,2557921,2560769
ACTER CO LTD,13548,36933,39223
ADANA CIMENTO SANAYII TAS,10809,22464,28849
ADANI TRANSMISSIONS LTD,83887,49791,48420
ADARO ENERGY TBK PT,2981236,258455,223146
ADO PROPERTIES SA,41248,1806808,903884
ADVANCED INFORMATION TECHNOLOGY,247917,189793,285759
AEGEAN AIRLINES SA,13835,107863,115184
AEGEAN MARINE PETROLEUM NETWORK INC,35241,352058,418929
AEKYUNG PETROCHEMICAL CO LTD,2417,254670,114053
TANGER FACTORY OUTLET CENTERS INC,63685,2588148,2240390
TARGA RESOURCES CORP,27534,1199946,1115696
TERADATA CORP,9952,315770,364854
TESORO LOGISTICS LP,58513,2806267,2693323
TIFFANY & CO,3684,262918,216442
TREASURE ISLAND ROYALTY TRUST,103037,258,94794
TRINET GROUP INC,25712,539946,530535
UDR INC,74985,2712957,2101624
UNITED TECHNOLOGIES CORP,2549,271305,225693
US FOODS HOLDING CORP,199435,4836297,4786999
US SILICA HOLDINGS INC,129027,5064294,3536036
VALERO ENERGY PARTNERS LP,238479,9989902,10957666
VENTAS INC,6666,484418,391465
VISA INC,29626,2396773,2164469
VORNADO REALTY TRUST,98184,10143442,8259005
WASHINGTON PRIME GROUP INC,29559,406147,471375
WELLTOWER INC,16178,1241628,1030030
WENDY'S INTERNATIONAL INC,398044,4056064,4014497
WESTERN GAS EQUITY PARTNERS LP,115858,4271683,4512289
WESTERN GAS PARTNERS LP,52019,2617592,2782965
WESTERN REFINING LOGISTICS LP,411096,9816969,9321647
WHITING PETROLEUM CORP,244230,1780434,6550420
WILLIAMS COS INC,76087,2125884,1592924
WILLIAMS PARTNERS LP,22703,864975,727843
WPX ENERGY INC,463433,5561203,3715893
ZOETIS INC,56423,2883228,2442186
ZYNGA INC,3317214,9055993,8728520
OTAL DOMESTIC COMMON STOCKS,,733608157,689588487
OREIGN COMMON STOCKS,,,
1-PAGE LTD,1166290,219131,1371856
361 DEGREES INTERNATIONAL LTD,951759,295709,326347
AA PLC,65686,232449,271846
AALBERTS INDUSTRIES NV,87890,2941534,1533649
AAPICO HITECH PCL,189616,79427,86902
ABILITY ENTERPRISE CO LTD,346111,190887,320370
ABS-CBN  HOLDINGS CORP,35984,38769,32632
ABU DHABI COMMERCIAL BANK PJSC,652586,1140617,1096804
ACCELYA KALE SOLUTIONS LTD,4543,84300,60869
ACCTON TECHNOLOGY CORP,272657,428786,232438
ACOM CO,534502,2557921,2560769
ACTER CO LTD,13548,36933,39223
ADANA CIMENTO SANAYII TAS,10809,22464,28849
ADANI TRANSMISSIONS LTD,83887,49791,48420
ADARO ENERGY TBK PT,2981236,258455,223146
ADO PROPERTIES SA,41248,1806808,903884
ADVANCED INFORMATION TECHNOLOGY,247917,189793,285759
AEGEAN AIRLINES SA,13835,107863,115184
AEGEAN MARINE PETROLEUM NETWORK INC,35241,352058,418929
AEKYUNG PETROCHEMICAL CO LTD,2417,254670,114053
AEON MALL CO LTD,221613,3119535,3329469
AES TIETE ENERGIA SA,17579,89747,65600
AFRICAN BANK INVESTMENTS LTD,66982,1411,197699
AGNICO EAGLE MINES LTD,65476,3317104,3564034
AGORA,11175,31428,32292
AGRICULTURAL BANK OF CHINA LTD,1766904,726648,770383
AGTHIA GROUP PJSC,881414,1427790,1783821
AGUNG PODOMORO LAND TBK PT,248682,5437,9167
AHN-GOOK PHARMACEUTICAL CO LTD,3453,49388,58868
AIA GROUP LTD,630857,3989243,3558497
AIR ARABIA PJSC,3836412,1410023,1346836
AIRASIA BHD,933412,86310,90343
AIRMATE CAYMAN INTERNATIONAL CO LTD,7801,6576,7203
AKFEN GAYRIMENKUL YATIRIM ORTAKLIGI AS,183140,92836,126980
AKIS GAYRIMENKUL YATIRIMI AS,10826,10390,11647
ALAMOS GOLD INC,106465,748962,674468
ALBARAKA TURK KATILIM BANKASI AS,88225,37567,42025
ALDAR PROPERTIES PJSC,51687,38838,32545
ALFA SAB DE CV,5009789,8124522,9924757
ALIANSCE SHOPPING CENTERS SA,171368,800191,1398368
ALIBABA GROUP HOLDING LTD,39985,3886138,3042941
ALKEM LABORATORIES LTD,1819,42048,42185
ALLERGAN PLC,9293,2179561,2245510
ALLIANCE GLOBAL GROUP INC,2013362,704320,699808
ALPEK SAB,225248,387733,302379
ALPHA NETWORKS INC,371728,278821,232441
ALTEN SA,5184,355263,217126
ALTRAN TECHNOLOGIES SA,21308,313141,211552
ALUMETAL SA,710,11507,11388
AMATA CORP PCL,355583,129432,186819
AMBEV SA,1575087,9305593,8730120
AMDOCS LTD,5203,312801,150461
AMERICA MOVIL SAB DE CV,5627219,7204143,11291746
AMERICAN GROUP,121578,3655995,3529784
AMICA SA,2587,128143,101003
AMOREPACIFIC CORP,8482,2936264,2228304
AMOTECH CO LTD,5291,78291,86596
AMREST HOLDINGS SE,1427,92672,65954
AMTEK AUTO LTD,147615,98527,258620
AMVIG HOLDINGS LTD,10161,3576,5099
ANADOLU ANONIM TURK SIGORTA SIRKETI,42822,24457,24447
ANADOLU CAM SANAYII AS,437068,313130,307487
ANANDA DEVELOPMENT PCL,214851,29668,26019
ANANT RAJ LTD,385371,331452,263302
ANAPASS INC,8343,98393,97936
ANGLO AMERICAN PLC,434028,4409853,4471586
ANGLOGOLD ASHANTI LTD,16321,262607,225217
ANHEUSER-BUSH INBEV SA/NV,61152,7571179,4568626
ANN JOO RESOURCES BHD,114785,50097,49083
ANTOFAGASTA PLC,65902,426986,544366
AON PLC,2010,223846,100206
AES TIETE ENERGIA SA,17579,89747,65600
AFRICAN BANK INVESTMENTS LTD,66982,1411,197699
AGNICO EAGLE MINES LTD,65476,3317104,3564034
AGORA,11175,31428,32292
AGRICULTURAL BANK OF CHINA LTD,1766904,726648,770383
AGTHIA GROUP PJSC,881414,1427790,1783821
AGUNG PODOMORO LAND TBK PT,248682,5437,9167
AHN-GOOK PHARMACEUTICAL CO LTD,3453,49388,58868
AIA GROUP LTD,630857,3989243,3558497
AIR ARABIA PJSC,3836412,1410023,1346836
AIRASIA BHD,933412,86310,90343
AIRMATE CAYMAN INTERNATIONAL CO LTD,7801,6576,7203
AKFEN GAYRIMENKUL YATIRIM ORTAKLIGI AS,183140,92836,126980
AKIS GAYRIMENKUL YATIRIMI AS,10826,10390,11647
ALAMOS GOLD INC,106465,748962,674468
ALBARAKA TURK KATILIM BANKASI AS,88225,37567,42025
ALDAR PROPERTIES PJSC,51687,38838,32545
ALFA SAB DE CV,5009789,8124522,9924757
ALIANSCE SHOPPING CENTERS SA,171368,800191,1398368
ALIBABA GROUP HOLDING LTD,39985,3886138,3042941
ALKEM LABORATORIES LTD,1819,42048,42185
ALLERGAN PLC,9293,2179561,2245510
ALLIANCE GLOBAL GROUP INC,2013362,704320,699808
ALPEK SAB,225248,387733,302379
ALPHA NETWORKS INC,371728,278821,232441
ALTEN SA,5184,355263,217126
ALTRAN TECHNOLOGIES SA,21308,313141,211552
ALUMETAL SA,710,11507,11388
AMATA CORP PCL,355583,129432,186819
AMBEV SA,1575087,9305593,8730120
AMDOCS LTD,5203,312801,150461
AMERICA MOVIL SAB DE CV,5627219,7204143,11291746
AMERICAN GROUP,121578,3655995,3529784
AMICA SA,2587,128143,101003
AMOREPACIFIC CORP,8482,2936264,2228304
AMOTECH CO LTD,5291,78291,86596
AMREST HOLDINGS SE,1427,92672,65954
AMTEK AUTO LTD,147615,98527,258620
AMVIG HOLDINGS LTD,10161,3576,5099
ANADOLU ANONIM TURK SIGORTA SIRKETI,42822,24457,24447
ANADOLU CAM SANAYII AS,437068,313130,307487
ANANDA DEVELOPMENT PCL,214851,29668,26019
ANANT RAJ LTD,385371,331452,263302
ANAPASS INC,8343,98393,97936
ANGLO AMERICAN PLC,434028,4409853,4471586
ANGLOGOLD ASHANTI LTD,16321,262607,225217
ANHEUSER-BUSH INBEV SA/NV,61152,7571179,4568626
ANN JOO RESOURCES BHD,114785,50097,49083
ANTOFAGASTA PLC,65902,426986,544366
AON PLC,2010,223846,100206
AP THAILAND PCL,3578384,770145,757717
APACER TECHNOLOGY INC,115724,97195,95965
APL APOLLO TUBES LTD,1019,14799,14776
APOLLO TYRES LTD,67087,183369,170331
ARAB COTTON GINNING CO,334366,103548,299477
ARABIAN FOOD INDUSTRIES CO,826043,684652,859321
ARCELIK AS,48269,345160,336382
AREZZO INDUSTRIA E COMERCIO SA,167478,1349125,1095183
ARIAKE JAPAN CO LTD,14870,703733,858100
